subject,question_type,stimulus_left,stimulus_right,rating
SS1630945779290,similarity,images/stimuli/simple_17_A_a.gif,images/stimuli/simple_01_A_a.gif,4
SS1630945779290,similarity,images/stimuli/simple_16_A_a.gif,images/stimuli/simple_12_A_a.gif,2
SS1630945779290,similarity,images/stimuli/complex_17_A_a.gif,images/stimuli/complex_19_A_a.gif,0
SS1630945779290,similarity,images/stimuli/complex_02_A_a.gif,images/stimuli/complex_03_A_a.gif,4
SS1630945779290,similarity,images/stimuli/complex_13_A_a.gif,images/stimuli/complex_10_A_a.gif,4
SS1630945779290,similarity,images/stimuli/complex_09_A_a.gif,images/stimuli/complex_06_A_a.gif,3
SS1630945779290,similarity,images/stimuli/simple_03_A_a.gif,images/stimuli/simple_09_A_a.gif,0
SS1630945779290,similarity,images/stimuli/simple_04_A_a.gif,images/stimuli/simple_07_A_a.gif,1
SS1630945803732,similarity,images/stimuli/complex_03_A_a.gif,images/stimuli/complex_18_A_a.gif,1
SS1630945803732,similarity,images/stimuli/complex_11_A_a.gif,images/stimuli/complex_06_A_a.gif,0
SS1630945803732,similarity,images/stimuli/simple_16_A_a.gif,images/stimuli/simple_06_A_a.gif,4
SS1630945803732,similarity,images/stimuli/complex_08_A_a.gif,images/stimuli/complex_12_A_a.gif,2
SS1630945803732,similarity,images/stimuli/simple_04_A_a.gif,images/stimuli/simple_03_A_a.gif,3
SS1630945803732,similarity,images/stimuli/complex_05_A_a.gif,images/stimuli/complex_10_A_a.gif,2
SS1630945803732,similarity,images/stimuli/simple_10_A_a.gif,images/stimuli/simple_19_A_a.gif,4
SS1630945803732,similarity,images/stimuli/simple_07_A_a.gif,images/stimuli/simple_11_A_a.gif,2
SS1630945822689,similarity,images/stimuli/simple_14_A_a.gif,images/stimuli/simple_08_A_a.gif,3
SS1630945822689,similarity,images/stimuli/simple_20_A_a.gif,images/stimuli/simple_19_A_a.gif,4
SS1630945822689,similarity,images/stimuli/complex_17_A_a.gif,images/stimuli/complex_08_A_a.gif,4
SS1630945822689,similarity,images/stimuli/simple_04_A_a.gif,images/stimuli/simple_16_A_a.gif,4
SS1630945822689,similarity,images/stimuli/complex_10_A_a.gif,images/stimuli/complex_06_A_a.gif,4
SS1630945822689,similarity,images/stimuli/simple_05_A_a.gif,images/stimuli/simple_12_A_a.gif,5
SS1630945822689,similarity,images/stimuli/complex_19_A_a.gif,images/stimuli/complex_09_A_a.gif,4
SS1630945822689,similarity,images/stimuli/complex_20_A_a.gif,images/stimuli/complex_13_A_a.gif,3
